id,stable_key,scope,creator_or_cameo,source_role,chinese_text,status
D0056,MAIN:0x0345E4,creator_mention,Kameiyu,Warning,"妈妈:我听说你要去彩虹市的南晶科技开发部挑战名叫卡美优的训练师!听说他的精灵至今还没有被人打败过,你千万要小心啊...",restored in the French version
D0057,MAIN:0x0346A1,creator_story_dialogue,Kameiyu,Secret boss,"卡美优:不错,你的实力在这个石英地区已经无人能敌了,但别忘了人外有人天外有天啊,在这个世界上还存在别的大陆...有机会的话一定要去宝石大陆看看,那里有这里所没有的精灵!!!那么你的精灵图鉴如果收集齐了的话再来找我吧!",restored in the French version
D0058,MAIN:0x034739,creator_story_dialogue,Kameiyu,Secret boss,"卡美优:有机会的话一定要去宝石大陆看看,那里有这里所没有的精灵!!!那么你的精灵图鉴如果收集齐了的话再来找我吧!",restored in the French version
D0059,MAIN:0x0347A2,creator_story_dialogue,Kameiyu,Mew gift,"卡美优:你已经成功了收集石英地区所有的精灵,真了不起!好吧这只梦幻就送给你吧!恭喜你完成了精灵图鉴!!",restored in the French version
D0063,MAIN:0x034873,creator_story_dialogue,Kameiyu,After battle,卡美优:我认输!这样总行了吧!,restored in the French version
D0064,MAIN:0x034887,creator_story_dialogue,Beibei,Compliment,蓓蓓:你真的是很棒耶!,restored in the French version
D0065,MAIN:0x0348B5,creator_story_dialogue,Xiao Li,Warning,"小李:再骚扰的话,本大爷要报警了...!",restored in the French version
D0158,MAIN:0x0353F0,creator_mention,Kameiyu,Rumor,你听过南晶开发部的卡美优吗?听说他的精灵都是神兽级别的哦...,restored in the French version
D0245,MAIN:0x037A51,creator_mention,Kameiyu,Announcement,武藏:对!!他就在彩虹市的南晶科技开发部!!名字叫卡美优!,restored in the French version
D0247,MAIN:0x037ADC,creator_story_dialogue,Kameiyu,Secret challenge,"卡美优:小智,我知道你一定会来的!这一战应该没有任何遗憾吧!!来吧,准备好了吗?",restored in the French version
D0632,MAIN:0x03BAB6,creator_story_dialogue,Beibei,Eevee gift,"蓓蓓:没有我不知道的事,就连电玩里的世界也一样!这只依布就送给你吧!",restored in the French version
D0651,MAIN:0x03BCF6,developer_office,Xiaohong,Graphic artist,"小红:我是绘图师,画你的人就是我喔!",restored in the French version
D0652,MAIN:0x03BD1A,developer_office,Kameiyu,Writer,卡美优:我是写剧本的...比卡丘很可爱吧!,restored in the French version
D0653,MAIN:0x03BD3F,developer_office,Wei Cunfu,Programmer,"魏村夫:我吗?我是程序师,多多关照!",restored in the French version
D0654,MAIN:0x03BD65,developer_office,BOSS,Manager,"BOSS:哎呀!我是BOSS!要集全所有的宠物精灵很难,不过好好加油吧!如果全部集全的话就去告诉卡美优吧!",restored in the French version
D0659,MAIN:0x03BE0E,creator_story_dialogue,Xiao Li,Secret gift,"小李:被你发现了...我的事千万不要告诉任何人,这个给你拜托了!",restored in the French version
D0993,RESTORED:0x0331D1,creator_mention,Kameiyu,Warning,"小次郎:尽管你的实力非常强,但是碰上我们新老大卡美优的精灵只有落败的份!哈哈哈",restored in the French version
